id,year,size,roa,ato,cashflow,growth,board,indep,listage,mfee,ind,city,indy,IDig,ishigh,islow,ismid,HDig,MDig,HDigMid,Hsize,Msize,Hlistage,Mlistage,Hroa,Mroa,Hato,Mato,Hcashflow,Mcashflow,Hgrowth,Mgrowth,Hindep,Mindep,Hmfee,Mmfee,IVHDig,IVMDig,D,IDigP,ishigh1,islow1,ismid1,HDig1,MDig1,HLea,MLea,HGra,MGra,HPen,MPen,HExp,MExp,HSim,MSim,HDigHSim,MDigMsim,HCGap,MCGap,HDigHCGap,MDigMCGap,HEGap,MEGap,HDigHEGap,MDigMEGap,Hmanufac,Hservice,Happlica,Helement,Mmanufac,Mservice,Mapplica,Melement,HEco,MEco,HEle,MEle,HClu,MClu,HMar,MMar
3,2019,23.254942,.090297997,.83273101,.108613,.14765599,1.791759,.5,1.386294,.066909,9,137,80,1.3862944,1,,,1.5566448,.89587975,0,23.246283,22.173134,2.103518,2.3251367,.072929002,.021380251,.61122578,.69724798,.117313,.065978751,.099629797,.26651448,.413095,.41517824,.045615599,.061332747,.48637331,3.9882431,0,1.3862944,,,1,1.670212,1.059351,1.0739474,1.0570261,,,,,1.0986123,1.3862944,,,.19215947,.031349648,-.38190854,-.92532551,1.2611854,.43376741,-.26585579,-.735021,-.41384304,-.68919736,1.1090355,0,.69314718,.57807434,.79451346,0,.57564628,.34657359,1,1,1,1,1,0,1,1
3,2020,23.531891,.078695998,.808523,.06047,.197469,1.94591,.42857099,1.6094379,.064791001,9,137,81,1.7917595,1,,,1.4910625,.79451346,0,23.020916,22.730452,2.3444042,2.4880695,.060790665,.042615499,.6080178,.81437254,.092909001,.05246475,.090795495,.10216875,.38789648,.380952,.050928,.050155997,.52095932,4.6859202,1,1.6094379,1,,,1.491063,.79451352,.065582275,.10136628,,,,,.91629076,1.2527629,,,.20422594,.037784506,.23104906,.1732868,.66000682,-.13109919,-.3074187,-.63008392,-.45838052,-.50061017,1.1748759,0,.64520019,.48172864,.69314718,0,.57564628,.34657359,1,1,1,1,0,0,0,1
4,2012,21.53583,.040183,.96533602,.093413003,.138469,2.1972251,.33333299,1.386294,.062602997,20,85,199,1.0986123,,,1,2.5251808,.96860921,2.5251808,24.145164,22.172392,2.2410307,1.7126873,.069314666,.052462421,.90151012,.85688037,.034618668,.064036839,-.023080667,-.0021499482,.35425648,.34911108,.073749833,.08042758,.15182884,1.2267123,1,1.0986123,,,1,2.891891,1.047004,,,0,,0,,0,.31365755,.1799279,,.00030816707,.026732689,1.7997931,.33453199,-.073904186,-.16065542,-.32458937,.018428564,-.81964684,.017850077,2.475992,.11552453,1.4860396,1.3729132,.79364944,0,.14592572,.094303131,1,1,0,1,1,1,0,1
4,2013,21.683739,.058104999,1.117245,.096616,.289996,2.1972251,.33333299,1.6094379,.064466998,20,85,200,1.0986123,,,1,3.3100767,1.3039495,3.3100767,24.710829,22.415924,2.802901,1.9947456,.072810747,.043677833,.97772872,.82346141,.046241999,.063319497,.1078985,.16628271,.34581074,.35599262,.067183502,.087792747,.19727913,1.4586151,0,1.0986123,,,1,3.310077,1.303949,-.37943077,.070124865,0,,0,,0,.51082563,.51468039,,.23446929,.0054448708,1.6609473,-.29098281,.59224474,.020929197,-.64051497,.038154125,-2.1201537,.049751051,3.330713,.1732868,2.4951122,2.1698279,1.062097,.028881133,.26483783,.16620767,1,1,0,1,0,1,0,1
4,2014,22.157766,.053195,.962892,.054804001,.206092,2.1972251,.33333299,1.791759,.065003,20,85,201,1.0986123,,,1,3.0146596,1.2918532,3.0146596,24.555307,22.194302,2.2873597,1.9701428,.092542715,.049820285,.88417685,.79730254,.059487998,.059572358,.16066143,.097288996,.35644713,.35992548,.072278999,.090565823,.23004131,1.6658182,0,1.0986123,,,1,3.0146599,1.291853,.29541707,.012096286,0,,0,,0,.51794308,.41844815,,.096974842,.0062127579,1.898038,.50918269,.44354966,-.054429453,-.36208999,.093908548,-1.0915781,.12131606,3.0633893,.099021025,1.9615338,1.7476919,1.0336933,.024755256,.25175911,.14246371,1,1,0,1,1,1,1,1
4,2015,22.170685,.035193998,.72416502,.062217999,-.066913001,2.1972251,.33333299,1.94591,.080334999,20,85,202,1.0986123,,,1,3.0812852,1.2847009,3.0812852,24.208143,22.119143,2.1745143,1.9377134,.075549111,.053662345,.84718454,.72568822,.069241442,.047023628,.069310337,.098585717,.37993634,.36645508,.083606668,.09853714,.17902279,2.2617631,0,1.0986123,,,1,3.191793,1.3100491,-.066625595,.007152319,4.4524932,,0,,0,.4877032,.4032729,,.10530803,.0066667963,1.8669102,.39459509,.50004888,-.046373263,-.22816396,.071907043,-.70303822,.092379041,3.1305647,.077016354,1.9169282,1.7233198,.9636516,.059412617,.23580651,.128566,1,1,0,1,1,1,1,1
4,2016,22.316164,.033059001,.74567503,.044571999,.117497,2.1972251,.33333299,2.079442,.087527998,20,85,203,.69314718,,,1,3.3000782,1.3607209,3.3000782,24.782265,22.207769,2.5947161,2.0688446,.075681113,.053382251,.89104265,.71607262,.047560778,.042726472,.22309589,.24475703,.38335267,.35786703,.07176511,.093721218,.28831837,2.6810215,0,.69314718,,,1,3.4128511,1.3887531,-.21879292,-.076020002,5.0951958,,0,,.10536052,.47692406,.49692437,,.21875089,.0018409514,2.3170993,.59612554,1.0425636,-.018649759,-.21792769,.083574772,-.71917844,.11372194,3.366107,.43013346,2.0640421,1.8590063,1.0138553,.057762265,.27103627,.13298589,1,1,1,1,1,1,1,1
4,2017,22.556171,.015774,.70967901,.031761002,.159289,2.1972251,.33333299,2.1972251,.079732999,20,85,204,1.3862944,,,1,3.3225508,1.3787413,3.3225508,24.234606,22.090418,2.3402328,1.6447594,.065462165,.0612536,.85695052,.72776848,.011494749,.053286865,.143204,.18631411,.38885766,.35887173,.07031592,.093901269,.3498911,2.9861867,1,1.3862944,,,1,3.322551,1.378741,-.42793775,-.42348552,6.5076509,,0,,.080042705,.36772478,.53839803,,.25570673,.00069699448,2.2724719,.4117628,1.0438813,-.0050366856,-.067305684,.055713534,-.22362655,.076814547,3.3839025,.52967566,2.1590824,1.9195141,1.0387527,.030806541,.23862521,.10142996,1,1,1,1,1,1,1,1
4,2018,22.49082,.0020949999,.64491397,.082996003,-.014904,2.1972251,.33333299,2.3025849,.040086001,20,85,205,2.3025851,,,1,3.2883995,1.3454907,3.2883995,23.916325,22.023447,2.5991318,1.6784908,.032292068,.048718099,.75638962,.67919207,.032974865,.063669801,-.067080066,.056724779,.38181806,.36510071,.043172065,.057394899,.29904255,3.049747,1,1.9459101,,,1,3.412014,1.3893141,.7272985,.72639775,6.9495111,,0,,.38299224,.26236427,.3422935,,.10881035,.0028077823,1.1320074,-.69998491,.21056993,.028882863,-.069020152,.069975972,-.22696583,.094152018,3.2691371,.55806738,2.019371,1.8645304,1.0291725,.013862943,.22862563,.11901285,1,1,1,1,1,1,1,1
4,2019,22.498734,-.016275,.54143,.053449001,-.184659,2.1972251,.33333299,2.3978951,.052113,20,85,206,2.3978953,,,1,3.5110793,1.7415595,3.5110793,24.260035,22.323324,2.6619501,1.9815828,.0363525,.035103552,.7606405,.68551761,.070887499,.075921096,.0015249173,.0862405,.39226025,.35453072,.041906334,.056321874,.33770505,3.3707383,1,2.0794415,,,1,3.597091,1.5044121,.69361091,.52022195,7.3036833,,0,,.15415068,.42199442,.47256958,,.26261678,-.022335161,.49985719,-.64152664,-.29648915,-.2091876,-.0079605579,.043542624,-.027950151,.075832069,3.5849447,.63000673,2.48281,2.2636623,1.4198327,.01732868,.47772864,.31619191,1,1,1,1,1,1,1,1
4,2020,22.435022,.003022,.51059097,.093783997,-.082446001,2.1972251,.33333299,2.4849069,.052466001,20,85,207,2.5649493,,,1,3.6558762,1.6505463,3.6558762,24.409422,22.33787,2.7546785,2.0230155,.027764916,.04276051,.76000786,.67216146,.0554405,.069036707,.095836498,.17147164,.40514192,.36394587,.046309251,.049953118,.39206371,4.0435772,1,2.3978953,,,1,3.6558759,1.650546,-.049486637,.1863234,5.9649019,,0,,.15415068,.61146915,.45000279,,.27643281,-.01655753,1.9717356,.43136308,1.2089158,.12476179,.024536729,.12001002,.08970324,.19808209,3.7717438,.63340855,2.8339419,2.5979252,1.3338089,.027182242,.39185518,.27286643,1,1,1,1,1,1,1,1
5,2012,20.797823,.131676,.96379602,.22064599,.199918,2.079442,.375,1.791759,.097093999,10,30,226,0,,1,,2.9376879,1.5742962,0,22.573006,21.674692,2.2368236,1.7373444,.043867707,.042881463,.81619972,.70316571,.045755528,.039064787,.22294559,.12350389,.36982509,.38529071,.10474494,.14383642,.11037791,.95935023,0,0,,1,,2.9376881,1.398066,,,0,0,0,0,0,0,0,0,-.061938457,-.011717079,2.0527637,1.0822527,.4130936,.208427,-.058185935,-.11820531,-.17093211,-.18609017,3.4336092,.06462425,2.4432931,2.1491499,1.8039076,0,1.2147232,1.1008446,1,1,0,0,0,0,0,0
5,2013,20.92967,.17409199,1.093354,.182111,.35609901,2.1972251,.33333299,1.94591,.097888999,10,30,227,1.7917595,,1,,3.1127186,1.700502,0,22.738152,21.664312,2.1629636,1.9271535,.039234191,.042799376,.81740296,.65524167,.044484906,.035209086,.11940614,.24176601,.38226628,.38336858,.12622076,.13605428,.12233886,1.2178757,1,1.0986123,,1,,3.2079351,1.75571,-.17503071,-.1262058,0,0,0,0,0,0,0,0,-.094142333,-.019728782,2.1512327,1.0288259,.67825854,.33433756,-.098103642,-.018305421,-.30536902,-.031128405,3.6088526,.085321881,2.7597048,2.4661205,1.8924676,.010045611,1.1264198,1.020079,1,1,0,0,0,0,0,0
5,2014,21.182856,.20776699,1.102699,.22064599,.229794,2.1972251,.33333299,2.079442,.113453,10,30,228,2.0794415,,,1,3.3145046,2.063298,3.3145046,23.14385,21.776287,2.2751684,2.0623741,.049006157,.039837971,.90350324,.65634489,.059138156,.037577398,.20222984,.2203424,.36733851,.38941115,.12256058,.14814363,.18140113,1.3686395,1,1.7917595,,,1,3.338068,2.075284,1.0739474,1.0570261,4.2835159,,0,,0,0,.15745769,,-.018929575,-.042759523,.9093442,-.14301825,.059706558,-.064695075,-.31761527,-.14525163,-1.0527372,-.2996974,3.8567946,.094303131,3.1788855,2.833837,2.2897706,.030580023,1.4528852,1.2952173,1,1,0,0,0,0,0,0
5,2015,21.375967,.213559,1.039147,.101129,.17403901,2.1972251,.33333299,2.1972251,.124567,10,30,229,2.0794415,,,1,3.389549,2.205868,3.389549,23.192715,21.961306,2.3899605,2.0394151,.04856224,.036361266,.82214653,.65734202,.065529428,.041862182,.14499919,.21820644,.37131414,.39048097,.136235,.13550431,.19695808,1.7595806,0,2.0794415,,,1,3.389549,2.1136661,.21263766,.14511204,5.6543365,,0,,0,0,.1730697,,-.0086105708,-.051810045,.77733278,-.064403296,-.038104489,-.01422713,-.4072547,-.076414943,-1.3804097,-.16856128,3.9023151,.11832889,3.212486,2.8708258,2.442693,.029287908,1.5495722,1.3837905,1,1,0,0,0,0,0,0
5,2016,21.433283,.077253997,.68441898,.14979701,-.25667,1.94591,.42857099,2.3025849,.17294601,10,30,230,2.0794415,,,1,3.4582622,2.2351494,3.4582622,23.256178,22.006889,2.3265388,2.0187364,.039914541,.045467444,.80119962,.61545295,.053783834,.045044295,.17701912,.27031973,.36508659,.39032358,.14589424,.13469999,.28273609,2.272126,0,2.1972246,,,1,3.4958749,2.254653,-.068713188,-.029281378,5.8938446,,0,,0,0,.186828,,.0024328914,-.053668864,1.6303883,.41034162,.68982685,.38662535,-.36197329,-.10053968,-1.2517985,-.22472121,3.9323189,.17819442,3.2715149,2.9349186,2.4327965,.025672117,1.5592164,1.3903368,1,1,0,0,0,0,0,0
5,2017,21.505602,.076320998,.63635701,-.110021,.011099,2.079442,.375,2.3978951,.154156,10,30,231,2.0794415,,,1,3.4829271,2.2855172,3.4829271,23.364985,22.095116,2.3599529,1.8870304,.059581112,.044247366,.86046284,.67126513,.048256852,.031658106,.25816259,.23641939,.37107152,.38190141,.12244897,.12524983,.36526862,2.4940314,0,2.4849067,,,1,3.4829271,2.285517,-.024664879,-.050367832,6.2975345,,0,,0,0,.18543421,,.001273734,-.056866277,2.1411028,1.1351154,1.1600642,1.1298791,-.36610866,-.13952303,-1.2751298,-.31888229,3.906389,.18406716,3.3183906,2.9717155,2.4876242,.0334532,1.5334742,1.3312464,1,1,0,0,0,0,0,0
